,0,1,2
235,0.967795,-16.79755,-20.351717
236,5.856868,-18.99865,-15.869517
237,-3.2550082,-5.146928,-4.0267496
238,-3.244274,-5.214714,-4.0114074
239,-1.4584013,2.3150718,-8.621302
240,6.7026663,-19.025658,3.8246071
241,9.380025,-21.791779,-5.0972705
242,-3.0946062,-2.918787,-3.675693
243,6.540978,-18.59453,4.181819
244,-2.554047,-9.126828,-2.1423008
245,8.669052,-22.615124,-1.9090642
246,2.616999,-11.505516,6.03095
247,6.7141504,-19.540462,-14.722524
248,8.568242,-22.661646,-1.1810141
249,8.466941,-22.624525,-0.82035404
250,8.592583,-22.703466,-0.7862775
251,-3.0098827,-2.96073,-3.7892509
252,8.870717,-20.979877,-11.205516
253,-4.7582855,-11.76875,-22.970856
254,8.880065,-22.553354,-2.540652
255,-3.1467025,-6.522837,-3.788269
256,-6.4095035,-7.8025994,-22.380024
257,6.993568,-20.214712,3.0139315
258,8.15824,-22.30286,0.48556042
259,-3.1106744,-7.1583066,-3.5707312
260,7.310319,-20.898527,2.4289556
261,-3.1305141,-4.5978985,-4.056895
262,9.443534,-21.581295,-5.979202
263,-6.369977,-7.9044237,-22.487268
264,-3.1396341,-5.5422816,-4.143021
265,0.5223597,-16.476679,-20.684214
266,-6.4204745,-7.6758056,-22.441956
267,-6.397579,-7.7924237,-22.429474
268,-2.9884217,-3.1003692,-3.8568037
269,8.370266,-22.544264,-0.19717783
270,2.4799025,-11.647402,5.979066
271,7.539508,-21.246363,2.2084627
272,9.46553,-21.66256,-5.7216372
273,7.788778,-21.730043,1.6618762
274,8.685116,-22.702854,-1.2433633
275,8.381117,-22.545938,-0.1718903
276,-2.9374464,-2.8069787,-3.8223202
277,9.481695,-21.647038,-5.820815
278,9.448806,-21.88412,-5.0431232
279,-3.1353264,-5.753751,-4.3167396
280,8.413794,-22.57669,-0.28648514
281,-3.0633998,-7.0428934,-3.6962688
282,8.354514,-22.510551,-0.021996511
283,9.264673,-21.114758,-9.092463
284,-3.0812464,-6.251191,-4.0833387
285,-2.9797883,-3.7912056,-4.0492606
286,6.5725183,-18.335009,4.4882517
287,8.683815,-22.70705,-1.1035283
288,8.749239,-20.881325,-11.787155
289,9.38944,-22.094362,-4.445172
290,8.551082,-22.660374,-0.6003096
291,9.462305,-21.489803,-6.4549327
292,6.615414,-18.44332,4.437794
293,9.09205,-22.526302,-2.906968
294,7.776514,-21.626041,1.8840631
295,8.133627,-22.146751,1.1038378
296,-6.365509,-7.772659,-22.568024
297,-3.0344574,-7.160667,-3.7732966
298,-5.816362,-9.290435,-22.87089
299,-1.9620844,-10.051047,-1.8311892
300,7.832983,-21.731304,1.7402978
301,8.462612,-20.680424,-12.460418
302,9.5052,-21.544853,-6.3144913
303,6.108725,-19.11022,-15.760609
304,-2.9917233,-4.66067,-4.220332
305,9.429522,-22.0789,-4.546984
306,9.441742,-21.406946,-6.8778963
307,7.003627,-19.878626,3.3920777
308,5.280788,-8.17481,6.6491065
309,9.329886,-21.152828,-8.499601
310,-6.3550644,-7.7242255,-22.663475
311,9.356456,-22.260555,-4.01711
312,7.965937,-21.91375,1.5344168
313,-2.9872587,-5.405261,-4.2850237
314,-3.0396914,-5.939795,-4.3299484
315,9.319618,-21.135654,-9.042694
316,9.556192,-21.67107,-5.8942323
317,7.9636927,-21.889772,1.6096073
318,-1.9590614,-10.016342,-1.889966
319,7.000102,-19.695993,3.560993
320,5.1277742,-18.622915,-17.489538
321,5.5030036,-18.79424,-16.916464
322,9.02576,-22.748384,-1.9253776
323,-3.0017674,-6.881325,-4.042786
324,-6.2959976,-7.8821707,-22.750027
325,7.197186,-20.320908,3.102528
326,-4.7564473,-11.650112,-23.329885
327,0.30247107,-16.293684,-20.958252
328,4.5890865,-18.35901,-18.233541
329,3.7575536,-11.198918,6.7388573
330,3.0663595,-11.610645,6.347291
331,-2.8147929,-2.984739,-4.0346527
332,-2.805607,-2.8939884,-4.019592
333,6.952524,-19.291775,3.8819733
334,7.0627637,-19.866352,3.492224
335,7.9926248,-21.872982,1.7297999
336,-5.7244315,-9.445639,-23.011562
337,5.7496314,-18.903852,-16.574417
338,7.134505,-19.765205,-14.516383
339,-6.4319496,-7.281743,-22.805885
340,-2.8712938,-4.5485697,-4.366348
341,8.089484,-22.033657,1.4410698
342,-5.699531,-6.75455,0.15847202
343,-5.84911,-6.226588,0.031707257
344,2.9598577,-8.99513,6.5873046
345,5.1024933,-17.434385,4.723359
346,5.0076585,-19.324198,-12.643062
347,7.1132593,-20.874891,-4.304186
348,6.088101,-20.37396,-10.303399
349,-1.6941537,-12.225315,-0.17989203
350,-6.594697,-9.548856,-18.400928
351,-6.6377506,-9.376456,-18.345417
352,2.6445704,-18.177074,-15.899748
353,5.530779,-20.674328,-1.1304008
354,5.4811506,-20.616608,-0.9518776
355,2.7778218,-18.188604,-15.789529
356,6.8956127,-20.345898,-8.700196
357,-6.600021,-9.57632,-18.466507
358,-9.319566,-6.6158776,-18.950987
359,3.1300752,-8.60108,6.437102
360,7.132646,-20.347847,-8.189194
361,5.5580564,-19.626453,-0.3861167
362,-5.8336935,-6.204964,0.060276486
363,5.3375115,-20.451351,-0.30840707
364,-2.3071666,-11.556789,-0.05740898
365,2.6785398,-9.469151,6.690953
366,-11.074731,-0.5694808,5.7332587
367,-4.9170084,-8.140636,0.3493508
368,5.354142,-20.540192,-0.43379238
369,5.982788,-20.94326,-1.8761733
370,4.556742,-18.723537,-14.008005
371,-5.810029,-6.154997,-0.014739515
372,5.9675565,-20.124708,-12.053479
373,4.969447,-17.18231,5.022755
374,-5.7645864,-6.3835406,0.029147217
375,-4.880022,-8.150833,0.3584945
376,6.6244626,-21.202639,-2.7640355
377,5.020014,-19.00032,1.8099488
378,-5.4587646,-11.792927,-19.292341
379,7.6709485,-20.578285,-6.219732
380,-10.687183,-5.7612047,-18.851902
381,7.2548633,-20.392563,-8.21904
382,5.161927,-17.424738,4.767901
383,-5.40314,-7.30792,0.14441457
384,7.1739683,-20.395597,-8.446516
385,-5.4762306,-11.748335,-19.338928
386,7.6466928,-20.644836,-5.701997
387,5.32646,-20.388561,0.1017767
388,7.249111,-20.406433,-8.300195
389,-5.789128,-5.906289,-0.103120536
390,3.9232605,-7.8064837,6.659654
391,4.0780954,-7.6385994,6.563858
392,0.32940015,-17.221703,-17.971853
393,0.38083768,-17.243967,-17.936548
394,-6.2427697,-10.425365,-19.403534
395,7.283914,-20.4112,-8.358335
396,5.7347035,-20.987051,-0.787148
397,7.1738806,-20.420027,-8.752354
398,-2.0374458,-15.417556,-19.192307
